Block	norm_pos	G1	G2	G3	sample	INV
0	0	0	1	0	C091-CHA-C11	INV
1	0.028571429	0	1	0	C091-CHA-C11	INV
2	0.057142857	0	1	0	C091-CHA-C11	No
3	0.085714286	0	0.602739726	0.397260274	C091-CHA-C11	No
4	0.114285714	0	0.8	0.2	C091-CHA-C11	No
5	0.142857143	0	0.666666667	0.333333333	C091-CHA-C11	No
6	0.171428571	0	0.647887324	0.352112676	C091-CHA-C11	No
7	0.2	0	0.786885246	0.213114754	C091-CHA-C11	No
8	0.228571429	0	0.409836066	0.590163934	C091-CHA-C11	No
9	0.257142857	0	0.244444444	0.755555556	C091-CHA-C11	No
10	0.285714286	0	0.347457627	0.652542373	C091-CHA-C11	No
11	0.314285714	0	0.352941176	0.647058824	C091-CHA-C11	No
12	0.342857143	0	0.6875	0.3125	C091-CHA-C11	No
13	0.371428571	0	0.63	0.37	C091-CHA-C11	No
14	0.4	0	0.34893617	0.65106383	C091-CHA-C11	No
15	0.428571429	0	0.548672566	0.451327434	C091-CHA-C11	No
16	0.457142857	0	0.347826087	0.652173913	C091-CHA-C11	No
17	0.485714286	0	0.6	0.4	C091-CHA-C11	No
18	0.514285714	0	0.05955335	0.94044665	C091-CHA-C11	No
19	0.542857143	0	0.358490566	0.641509434	C091-CHA-C11	No
20	0.571428571	0	0.314516129	0.685483871	C091-CHA-C11	No
21	0.6	0	0.491071429	0.508928571	C091-CHA-C11	No
22	0.628571429	0	0.318681319	0.681318681	C091-CHA-C11	No
23	0.657142857	0	0.247933884	0.752066116	C091-CHA-C11	No
24	0.685714286	0	0.271276596	0.728723404	C091-CHA-C11	No
25	0.714285714	0	0.078817734	0.921182266	C091-CHA-C11	No
26	0.742857143	0	0.074074074	0.925925926	C091-CHA-C11	No
27	0.771428571	0	0.085	0.915	C091-CHA-C11	No
28	0.8	0	0.268867925	0.731132075	C091-CHA-C11	No
29	0.828571429	0	0.298850575	0.701149425	C091-CHA-C11	No
30	0.857142857	0	0.30418251	0.69581749	C091-CHA-C11	No
31	0.885714286	0	0.07875895	0.92124105	C091-CHA-C11	No
32	0.914285714	0	0.914893617	0.085106383	C091-CHA-C11	INV
33	0.942857143	0	0.393939394	0.606060606	C091-CHA-C11	INV
34	0.971428571	0.090909091	0.909090909	0	C091-CHA-C11	No
35	1	0.888888889	0.111111111	0	C091-CHA-C11	No
0	0	0	1	0	C021-CHA-S01_2	INV
1	0.03125	0	1	0	C021-CHA-S01_2	INV
2	0.0625	0	1	0	C021-CHA-S01_2	No
3	0.09375	0	0.436170213	0.563829787	C021-CHA-S01_2	No
4	0.125	0	0.659259259	0.340740741	C021-CHA-S01_2	No
5	0.15625	0	0.582278481	0.417721519	C021-CHA-S01_2	No
6	0.1875	0	0.342592593	0.657407407	C021-CHA-S01_2	No
7	0.21875	0	0.227272727	0.772727273	C021-CHA-S01_2	No
8	0.25	0	0.221445221	0.778554779	C021-CHA-S01_2	No
9	0.28125	0	0.361111111	0.638888889	C021-CHA-S01_2	No
10	0.3125	0	0.291666667	0.708333333	C021-CHA-S01_2	No
11	0.34375	0	0.147058824	0.852941176	C021-CHA-S01_2	No
12	0.375	0	0.507575758	0.492424242	C021-CHA-S01_2	No
13	0.40625	0	0.357142857	0.642857143	C021-CHA-S01_2	No
14	0.4375	0	0.375	0.625	C021-CHA-S01_2	No
15	0.46875	0	0.192307692	0.807692308	C021-CHA-S01_2	No
16	0.5	0	0.061135371	0.938864629	C021-CHA-S01_2	No
17	0.53125	0	0.191082803	0.808917197	C021-CHA-S01_2	No
18	0.5625	0	0.467181467	0.532818533	C021-CHA-S01_2	No
19	0.59375	0	0.350931677	0.649068323	C021-CHA-S01_2	No
20	0.625	0	0.414814815	0.585185185	C021-CHA-S01_2	No
21	0.65625	0	0.174311927	0.825688073	C021-CHA-S01_2	No
22	0.6875	0	0.534482759	0.465517241	C021-CHA-S01_2	No
23	0.71875	0	0.145695364	0.854304636	C021-CHA-S01_2	No
24	0.75	0	0.083333333	0.916666667	C021-CHA-S01_2	No
25	0.78125	0	0.132075472	0.867924528	C021-CHA-S01_2	No
26	0.8125	0	0.198675497	0.801324503	C021-CHA-S01_2	No
27	0.84375	0	0.308	0.692	C021-CHA-S01_2	No
28	0.875	0	0.040189125	0.959810875	C021-CHA-S01_2	No
29	0.90625	0	0.92	0.08	C021-CHA-S01_2	INV
30	0.9375	0	0.416666667	0.583333333	C021-CHA-S01_2	INV
31	0.96875	0.052631579	0.947368421	0	C021-CHA-S01_2	No
32	1	0.888888889	0.111111111	0	C021-CHA-S01_2	No
0	0	0	1	0	C102-CZA02	INV
1	0.032258065	0	1	0	C102-CZA02	INV
2	0.064516129	0	1	0	C102-CZA02	No
3	0.096774194	0	0.220125786	0.779874214	C102-CZA02	No
4	0.129032258	0	0.281690141	0.718309859	C102-CZA02	No
5	0.161290323	0	0.337037037	0.662962963	C102-CZA02	No
6	0.193548387	0	0.676470588	0.323529412	C102-CZA02	No
7	0.225806452	0	0.692307692	0.307692308	C102-CZA02	No
8	0.258064516	0	0.612903226	0.387096774	C102-CZA02	No
9	0.290322581	0	0.285714286	0.714285714	C102-CZA02	No
10	0.322580645	0	0.391959799	0.608040201	C102-CZA02	No
11	0.35483871	0	0.444444444	0.555555556	C102-CZA02	No
12	0.387096774	0	0.141210375	0.858789625	C102-CZA02	No
13	0.419354839	0	0.490384615	0.509615385	C102-CZA02	No
14	0.451612903	0	0.359375	0.640625	C102-CZA02	No
15	0.483870968	0	0.379746835	0.620253165	C102-CZA02	No
16	0.516129032	0	0.06445993	0.93554007	C102-CZA02	No
17	0.548387097	0	0.415929204	0.584070796	C102-CZA02	No
18	0.580645161	0	0.346801347	0.653198653	C102-CZA02	No
19	0.612903226	0	0.38172043	0.61827957	C102-CZA02	No
20	0.64516129	0	0.195121951	0.804878049	C102-CZA02	No
21	0.677419355	0	0.091891892	0.908108108	C102-CZA02	No
22	0.709677419	0	1	0	C102-CZA02	No
23	0.741935484	0	0.109589041	0.890410959	C102-CZA02	No
24	0.774193548	0	0.205555556	0.794444444	C102-CZA02	No
25	0.806451613	0	0.214876033	0.785123967	C102-CZA02	No
26	0.838709677	0	0.266666667	0.733333333	C102-CZA02	No
27	0.870967742	0	0.08045977	0.91954023	C102-CZA02	No
28	0.903225806	0	0.944444444	0.055555556	C102-CZA02	INV
29	0.935483871	0	0.423076923	0.576923077	C102-CZA02	INV
30	0.967741935	0.066666667	0.933333333	0	C102-CZA02	No
31	1	0.888888889	0.111111111	0	C102-CZA02	No
0	0	0	1	0	C023-CHA-S03_2	INV
1	0.026315789	0	1	0	C023-CHA-S03_2	INV
2	0.052631579	0	1	0	C023-CHA-S03_2	No
3	0.078947368	0	0.62195122	0.37804878	C023-CHA-S03_2	No
4	0.105263158	0	0.720930233	0.279069767	C023-CHA-S03_2	No
5	0.131578947	0	0.655555556	0.344444444	C023-CHA-S03_2	No
6	0.157894737	0	1	0	C023-CHA-S03_2	No
7	0.184210526	0	0.165467626	0.834532374	C023-CHA-S03_2	No
8	0.210526316	0	0.318181818	0.681818182	C023-CHA-S03_2	No
9	0.236842105	0	0.264264264	0.735735736	C023-CHA-S03_2	No
10	0.263157895	0	0.674418605	0.325581395	C023-CHA-S03_2	No
11	0.289473684	0	0.72972973	0.27027027	C023-CHA-S03_2	No
12	0.315789474	0	0.534653465	0.465346535	C023-CHA-S03_2	No
13	0.342105263	0	0.127320955	0.872679045	C023-CHA-S03_2	No
14	0.368421053	0	0.351515152	0.648484848	C023-CHA-S03_2	No
15	0.394736842	0	0.416666667	0.583333333	C023-CHA-S03_2	No
16	0.421052632	0	0.49	0.51	C023-CHA-S03_2	No
17	0.447368421	0	0.440559441	0.559440559	C023-CHA-S03_2	No
18	0.473684211	0	0.333333333	0.666666667	C023-CHA-S03_2	No
19	0.5	0	0.139393939	0.860606061	C023-CHA-S03_2	No
20	0.526315789	0	0.707317073	0.292682927	C023-CHA-S03_2	No
21	0.552631579	0	0.086065574	0.913934426	C023-CHA-S03_2	No
22	0.578947368	0	0.323170732	0.676829268	C023-CHA-S03_2	No
23	0.605263158	0	0.35443038	0.64556962	C023-CHA-S03_2	No
24	0.631578947	0	0.145454545	0.854545455	C023-CHA-S03_2	No
25	0.657894737	0	0.48	0.52	C023-CHA-S03_2	No
26	0.684210526	0	0.425	0.575	C023-CHA-S03_2	No
27	0.710526316	0	0.37037037	0.62962963	C023-CHA-S03_2	No
28	0.736842105	0	0.151515152	0.848484848	C023-CHA-S03_2	No
29	0.763157895	0	0.43877551	0.56122449	C023-CHA-S03_2	No
30	0.789473684	0	1	0	C023-CHA-S03_2	No
31	0.815789474	0	0.109649123	0.890350877	C023-CHA-S03_2	No
32	0.842105263	0	0.203125	0.796875	C023-CHA-S03_2	No
33	0.868421053	0	0.261538462	0.738461538	C023-CHA-S03_2	No
34	0.894736842	0	0.083673469	0.916326531	C023-CHA-S03_2	No
35	0.921052632	0	0.941176471	0.058823529	C023-CHA-S03_2	INV
36	0.947368421	0	0.428571429	0.571428571	C023-CHA-S03_2	INV
37	0.973684211	0.1	0.9	0	C023-CHA-S03_2	No
38	1	0.888888889	0.111111111	0	C023-CHA-S03_2	No
0	0	0	1	0	C048-CHA-N08	INV
1	0.025641026	0	1	0	C048-CHA-N08	INV
2	0.051282051	0	1	0	C048-CHA-N08	No
3	0.076923077	0	0.302752294	0.697247706	C048-CHA-N08	No
4	0.102564103	0	0.303370787	0.696629213	C048-CHA-N08	No
5	0.128205128	0	0.320754717	0.679245283	C048-CHA-N08	No
6	0.153846154	0	0.54	0.46	C048-CHA-N08	No
7	0.179487179	0	0.612903226	0.387096774	C048-CHA-N08	No
8	0.205128205	0	0.615384615	0.384615385	C048-CHA-N08	No
9	0.230769231	0	0.098930481	0.901069519	C048-CHA-N08	No
10	0.256410256	0	0.277372263	0.722627737	C048-CHA-N08	No
11	0.282051282	0	0.288135593	0.711864407	C048-CHA-N08	No
12	0.307692308	0	0.336886994	0.663113006	C048-CHA-N08	No
13	0.333333333	0	0.278195489	0.721804511	C048-CHA-N08	No
14	0.358974359	0	0.112299465	0.887700535	C048-CHA-N08	No
