Subgroup	Sample	Type	Normalized_depth	Median_value	Control_Normalized_depth
b1	C001-CHA-E01	Control	0.292071127909973	0.321515467500869	0.9084
b1	C002-CHA-E02	Control	0.274560274560275	0.321515467500869	0.8540
b1	C003-CHA-E03	Control	0.363121069878664	0.321515467500869	1.1294
b1	C004-CHA-E04	Control	0.261483482959993	0.321515467500869	0.8133
b1	C005-CHA-E05	CON	0.325453922576225	0.321515467500869	1.0122
b1	C006-CHA-E06	Control	0.522752592338675	0.321515467500869	1.6259
b1	C007-CHA-E07	r3-r4-g1-g2-b4	0.266781411359725	0.321515467500869	0.8298
b1	C008-CHA-E08	Control	0.283993115318417	0.321515467500869	0.8833
b1	C010-CHA-E10	r1-r2-gy1	0.277056277056277	0.321515467500869	0.8617
b1	C011-CHA-E11	r3-r4-g2-b3-gy1	0.328407224958949	0.321515467500869	1.0214
b1	C012-CHA-E12	Control	0.367615627938788	0.321515467500869	1.1434
b1	C013-CHA-E13	Control	0.321907081955803	0.321515467500869	1.0012
b1	C014-CHA-E14	Control	0.369606326285027	0.321515467500869	1.1496
b1	C015-CHA-E15	Control	0.384447356924421	0.321515467500869	1.1957
b1	C016-CHA-E16	r3-r4-g1-g2-b4	0.249569707401033	0.321515467500869	0.7762
b1	C017-CHA-E17	Control	0.426949022286739	0.321515467500869	1.3279
b1	C018-CHA-E18	Control	0.303214069132808	0.321515467500869	0.9431
b1	C019-CHA-E19	Control	0.3003003003003	0.321515467500869	0.9340
b1	C020-CHA-E20	Control	0.371169615882607	0.321515467500869	1.1544
b1	C021-CHA-S01	Control	0.303214069132808	0.321515467500869	0.9431
b1	C021-CHA-S01_2	Control	0.296528867957439	0.321515467500869	0.9223
b1	C022-CHA-S02	Control	0.268887154133056	0.321515467500869	0.8363
b1	C023-CHA-S03	Control	0.286408609616386	0.321515467500869	0.8908
b1	C023-CHA-S03_2	Control	0.145947802197802	0.321515467500869	0.4539
b1	C024-CHA-S04	r1-r2-gy1	0.215796288303841	0.321515467500869	0.6712
b1	C024-CHA-S04_2	Control	0.324481256937922	0.321515467500869	1.0092
b1	C025-CHA-S05	CON	0.213730016243481	0.321515467500869	0.6648
b1	C026-CHA-S06	Control	0.451584889274859	0.321515467500869	1.4046
b1	C027-CHA-S07	Control	0.470096630974145	0.321515467500869	1.4621
b1	C028-CHA-S08	Control	0.416594341260198	0.321515467500869	1.2957
b1	C029-CHA-S09	Control	0.476479251494412	0.321515467500869	1.4820
b1	C030-CHA-S10	Control	0.249419454717468	0.321515467500869	0.7758
b1	C035-CHA-S15	Control	0.288511977618465	0.321515467500869	0.8974
b1	C036-CHA-S16	r1-r2-gy1	0.351147653305927	0.321515467500869	1.0922
b1	C037-CHA-S17	Control	0.407667620782375	0.321515467500869	1.2680
b1	C038-CHA-S18	Control	0.321515467500869	0.321515467500869	1.0000
b1	C039-CHA-S19	Control	0.320152288656226	0.321515467500869	0.9958
b1	C040-CHA-S20	Control	0.395392814165377	0.321515467500869	1.2298
b1	C041-CHA-N01	Control	0.276052449965493	0.321515467500869	0.8586
b1	C042-CHA-N02	Control	0.341177499781297	0.321515467500869	1.0612
b1	C044-CHA-N04	Control	0.313397753982763	0.321515467500869	0.9748
b1	C045-CHA-N05	Control	0.308694906534042	0.321515467500869	0.9601
b1	C046-CHA-N06	r3-r4-g1-g2-b4	0.239664469742361	0.321515467500869	0.7454
b1	C047-CHA-N07	r3-r4-g1-g2-b4	0.222412318220701	0.321515467500869	0.6918
b1	C048-CHA-N08	Control	0.405697022011221	0.321515467500869	1.2618
b1	C049-CHA-N09	Control	0.286050816086152	0.321515467500869	0.8897
b1	C050-CHA-N10	CON	0.413579183181113	0.321515467500869	1.2863
b1	C051-CHA-N11	CON	0.355193623841289	0.321515467500869	1.1047
b1	C052-CHA-N12	r3-r4-g2-b3-gy1	0.287631831255992	0.321515467500869	0.8946
b1	C054-CHA-N14	Control	0.374108230381068	0.321515467500869	1.1636
b1	C055-CHA-N15	CON	0.268073331027326	0.321515467500869	0.8338
b1	C056-CHA-N16	Control	0.316288877174486	0.321515467500869	0.9837
b1	C057-CHA-N17	Control	0.2794271742927	0.321515467500869	0.8691
b1	C058-CHA-N18	Control	0.294637595757219	0.321515467500869	0.9164
b1	C059-CHA-N19	r3-r4-g2-b3-gy1	0.269541778975741	0.321515467500869	0.8383
b1	C061-CHA-NE01	CON	0.427089688834655	0.321515467500869	1.3284
b1	C062-CHA-NE02	Control	0.390794615718628	0.321515467500869	1.2155
b1	C063-CHA-NE03	Control	0.390083217753121	0.321515467500869	1.2133
b1	C064-CHA-NE04	r3-r4-g1-g2-b4	0.374108230381068	0.321515467500869	1.1636
b1	C066-CHA-NE06	Control	0.387051372273047	0.321515467500869	1.2038
b1	C067-CHA-NE07	Control	0.380952380952381	0.321515467500869	1.1849
b1	C069-CHA-NE09	Control	0.347584289190129	0.321515467500869	1.0811
b1	C070-CHA-NE10	Control	0.328606018678658	0.321515467500869	1.0221
b1	C071-CHA-NE11	Control	0.261272650653182	0.321515467500869	0.8126
b1	C072-CHA-NE12	Control	0.30229746070133	0.321515467500869	0.9402
b1	C073-CHA-NE13	r3-r4-g1-g2-b4	0.454740454740455	0.321515467500869	1.4144
b1	C074-CHA-NE14	Control	0.300480769230769	0.321515467500869	0.9346
b1	C075-CHA-NE15	CON	0.293660390395578	0.321515467500869	0.9134
b1	C076-CHA-NE16	Control	0.39198606271777	0.321515467500869	1.2192
b1	C077-CHA-NE17	r3-r4-g2-b3-gy1	0.300842358604091	0.321515467500869	0.9357
b1	C078-CHA-NE18	r3-r4-g1-g2-b4	0.40915817881083	0.321515467500869	1.2726
b1	C079-CHA-NE19	Control	0.448075909330522	0.321515467500869	1.3936
b1	C081-CHA-C01	r1-r2-gy1	0.388903292714545	0.321515467500869	1.2096
b1	C082-CHA-C02	Control	0.34992564080133	0.321515467500869	1.0884
b1	C083-CHA-C03	r3-r4-g1-g2-b4	0.354548599100657	0.321515467500869	1.1027
b1	C084-CHA-C04	Control	0.303214069132808	0.321515467500869	0.9431
b1	C086-CHA-C06	Control	0.197425570559899	0.321515467500869	0.6140
b1	C087-CHA-C07	Control	0.291185034853966	0.321515467500869	0.9057
b1	C088-CHA-C08	Control	0.422498019540533	0.321515467500869	1.3141
b1	C089-CHA-C09	Control	0.283480800618504	0.321515467500869	0.8817
b1	C090-CHA-C10	Control	0.2990851513019	0.321515467500869	0.9302
b1	C091-CHA-C11	r3-r4-g1-g2-b4	0.351991758241758	0.321515467500869	1.0948
b1	C094-CHA-C14	r3-r4-g1-g2-b4	0.347161951050165	0.321515467500869	1.0798
b1	C095-CHA-C15	CON	0.291021141830009	0.321515467500869	0.9052
b1	C096-CHA-C16	r3-r4-g2-b3-gy1	0.302480338777979	0.321515467500869	0.9408
b1	C097-CHA-C17	Control	0.371618701927232	0.321515467500869	1.1558
b1	C099-CHA-C19	Control	0.417863671977018	0.321515467500869	1.2997
b1	C100-CHA-C20	Control	0.362756952841596	0.321515467500869	1.1283
b1	C102-CZA02	Control	0.342400608712193	0.321515467500869	1.0650
b1	C107-CZA07	r3-r4-g1-g2-b4	0.477347682693977	0.321515467500869	1.4847
b1	C111-CUG03	Control	0.252459301819448	0.321515467500869	0.7852
b1	C112-CUG04	r1-r2-gy1	0.270529714634785	0.321515467500869	0.8414
b1	C114-CMG01	Control	0.317079441254606	0.321515467500869	0.9862
b1	C116-CMG03	CON	0.274230868112092	0.321515467500869	0.8529
b1	C117-CMG04	Control	0.334018499486125	0.321515467500869	1.0389
b1	C118-CMG05	Control	0.326825492388406	0.321515467500869	1.0165
b1	C120-CKZ02	CON	0.538101024127756	0.321515467500869	1.6736
b1	C121-CKZ03	CON	0.309214594928881	0.321515467500869	0.9617
b1	C122-CKZ04	CON	0.411666812647806	0.321515467500869	1.2804
b1	C127-CZH04	Control	0.309251782492913	0.321515467500869	0.9619
b1	C134-CMH01	Control	0.432900432900433	0.321515467500869	1.3464
b1	C137-CMH04	Control	0.419653785626858	0.321515467500869	1.3052
b1	C138-CMH05	Control	0.342377813917658	0.321515467500869	1.0649
b1	C139-CBY01	Control	0.294908491629803	0.321515467500869	0.9172
b1	C142-CHU01	Control	0.361663652802893	0.321515467500869	1.1249
b1	C144-CHU03	Control	0.30229746070133	0.321515467500869	0.9402
b1	C145-CMA01	Control	0.343527440301634	0.321515467500869	1.0685
b1	C148-CTJ01	Control	0.326825492388406	0.321515467500869	1.0165
b1	C149-CTJ02	Control	0.314933076721197	0.321515467500869	0.9795
b1	C150-CTJ03	r1-r2-gy1	0.2999400119976	0.321515467500869	0.9329
b1	C151-CHA-E21	Control	0.254475254475254	0.321515467500869	0.7915
b1	C152-CKZ06	Control	0.299823633156966	0.321515467500869	0.9325
b1	C153-CHA-S21	Control	0.383928571428571	0.321515467500869	1.1941
b1	C154-CBA01	r3-r4-g1-g2-b4	0.362537764350453	0.321515467500869	1.1276
b1	C156-CBA03	Control	0.285714285714286	0.321515467500869	0.8886
b1	KOR01	Control	0.330844927044452	0.321515467500869	1.0290
b1	KOR02	Control	0.255406095692151	0.321515467500869	0.7944
b1	KOR03	Control	0.242840395243678	0.321515467500869	0.7553
b1	KOR04	CON	0.259284041485447	0.321515467500869	0.8064
b1	KOR05	Control	0.277801161713949	0.321515467500869	0.8640
b1	KOR07	CON	0.275367156208278	0.321515467500869	0.8565
b1/b2	C001-CHA-E01	Control	0.727965159715009	0.670230072042762	1.0861
b1/b2	C002-CHA-E02	Control	0.65503003003003	0.670230072042762	0.9773
