Subgroup	Sample	Type	Normalized_depth
b1	C001-CHA-E01	Control	0.292071127909973
b1	C002-CHA-E02	Control	0.274560274560275
b1	C003-CHA-E03	Control	0.363121069878664
b1	C004-CHA-E04	Control	0.261483482959993
b1	C005-CHA-E05	CON	0.325453922576225
b1	C006-CHA-E06	Control	0.522752592338675
b1	C007-CHA-E07	r3-r4-g1-g2-b4	0.266781411359725
b1	C008-CHA-E08	Control	0.283993115318417
b1	C010-CHA-E10	r1-r2-gy1	0.277056277056277
b1	C011-CHA-E11	r3-r4-g2-b3-gy1	0.328407224958949
b1	C012-CHA-E12	Control	0.367615627938788
b1	C013-CHA-E13	Control	0.321907081955803
b1	C014-CHA-E14	Control	0.369606326285027
b1	C015-CHA-E15	Control	0.384447356924421
b1	C016-CHA-E16	r3-r4-g1-g2-b4	0.249569707401033
b1	C017-CHA-E17	Control	0.426949022286739
b1	C018-CHA-E18	Control	0.303214069132808
b1	C019-CHA-E19	Control	0.3003003003003
b1	C020-CHA-E20	Control	0.371169615882607
b1	C021-CHA-S01	Control	0.303214069132808
b1	C021-CHA-S01_2	Control	0.296528867957439
b1	C022-CHA-S02	Control	0.268887154133056
b1	C023-CHA-S03	Control	0.286408609616386
b1	C023-CHA-S03_2	Control	0.145947802197802
b1	C024-CHA-S04	r1-r2-gy1	0.215796288303841
b1	C024-CHA-S04_2	Control	0.324481256937922
b1	C025-CHA-S05	CON	0.213730016243481
b1	C026-CHA-S06	Control	0.451584889274859
b1	C027-CHA-S07	Control	0.470096630974145
b1	C028-CHA-S08	Control	0.416594341260198
b1	C029-CHA-S09	Control	0.476479251494412
b1	C030-CHA-S10	Control	0.249419454717468
b1	C035-CHA-S15	Control	0.288511977618465
b1	C036-CHA-S16	r1-r2-gy1	0.351147653305927
b1	C037-CHA-S17	Control	0.407667620782375
b1	C038-CHA-S18	Control	0.321515467500869
b1	C039-CHA-S19	Control	0.320152288656226
b1	C040-CHA-S20	Control	0.395392814165377
b1	C041-CHA-N01	Control	0.276052449965493
b1	C042-CHA-N02	Control	0.341177499781297
b1	C044-CHA-N04	Control	0.313397753982763
b1	C045-CHA-N05	Control	0.308694906534042
b1	C046-CHA-N06	r3-r4-g1-g2-b4	0.239664469742361
b1	C047-CHA-N07	r3-r4-g1-g2-b4	0.222412318220701
b1	C048-CHA-N08	Control	0.405697022011221
b1	C049-CHA-N09	Control	0.286050816086152
b1	C050-CHA-N10	CON	0.413579183181113
b1	C051-CHA-N11	CON	0.355193623841289
b1	C052-CHA-N12	r3-r4-g2-b3-gy1	0.287631831255992
b1	C054-CHA-N14	Control	0.374108230381068
b1	C055-CHA-N15	CON	0.268073331027326
b1	C056-CHA-N16	Control	0.316288877174486
b1	C057-CHA-N17	Control	0.2794271742927
b1	C058-CHA-N18	Control	0.294637595757219
b1	C059-CHA-N19	r3-r4-g2-b3-gy1	0.269541778975741
b1	C061-CHA-NE01	CON	0.427089688834655
b1	C062-CHA-NE02	Control	0.390794615718628
b1	C063-CHA-NE03	Control	0.390083217753121
b1	C064-CHA-NE04	r3-r4-g1-g2-b4	0.374108230381068
b1	C066-CHA-NE06	Control	0.387051372273047
b1	C067-CHA-NE07	Control	0.380952380952381
