chr	start	end	het_ratio	het_length
C002-CHA-E02#Pat#chrY	3874	4462	14.3	588
C002-CHA-E02#Pat#chrY	379204	379883	26.7	679
C002-CHA-E02#Pat#chrY	1951263	1952499	13.6	1236
C002-CHA-E02#Pat#chrY	34125593	34127915	33.3	2322
C002-CHA-E02#Pat#chrY	34146282	34148215	33.3	1933
C002-CHA-E02#Pat#chrY	34148925	34150853	40	1928
C002-CHA-E02#Pat#chrY	34244163	34245331	44.4	1168
C002-CHA-E02#Pat#chrY	34246061	34249732	20	3671
C002-CHA-E02#Pat#chrY	34267138	34271709	18.2	4571
C002-CHA-E02#Pat#chrY	42617187	42618140	10	953
C002-CHA-E02#Pat#chrY	42625534	42634114	50	8580
