Gap_Query_Name	Sample_ID	Mapped_Coordinates	Affected_Variants_Count
C003-E03#chrY:1495636-1497735	C003-E03	chrY:1540772-1541771/chrY:1335816-1336762	8
C005-E05#chrY:36214368-36216467	C005-E05	chrY:33025844-33028224/chrY:50437431-50439825	0
C007-E07#chrY:55414099-55416198	C007-E07	chrY:53104869-53105609/chrY:56217533-56218531	0
C009-E09#chrY:43305028-43307127	C009-E09	chrY:54421393-54423178/chrY:54440734-54442526	0
C010-E10#chrY:47974068-47976167	C010-E10	chrY:32311616-32313450/chrY:47321531-47323424	0
C011-E11#chrY:43167765-43169864	C011-E11	chrY:40322806-40323805/chrY:56162989-56163987	0
C012-E12#chrY:48393598-48395697	C012-E12	chrY:55537421-55538420/chrY:57317083-57318075	0
C013-E13#chrY:49893279-49895378	C013-E13	chrY:39941622-39942621/chrY:45898932-45899930	0
C015-E15#chrY:61047141-61049240	C015-E15	chrY:39528390-39529372/chrY:52217426-52218424	0
C018-E18#chrY:57725751-57727850	C018-E18	chrY:56392174-56393173/chrY:40351294-40352269	0
C022-S02#chrY:18827631-18829730	C022-S02	chrY:18885860-18886859/chrY:18906771-18907769	0
C022-S02_2#chrY:26092334-26094433	C022-S02_2	chrY:24320993-24321992/chrY:24943645-24944643	0
C023-S03#chrY:47604723-47606822	C023-S03	chrY:45871867-45872866/chrY:41080975-41081973	0
C024-S04_2#chrY:10497547-10854988	C024-S04_2	chrY:10589303-10590302/chrY:10758958-10759956	0
C027-S07#chrY:23989669-23991768	C027-S07	chrY:25560333-25561332/chrY:25566201-25567199	0
C028-S08#chrY:56155122-56157221	C028-S08	chrY:30718900-30719894/chrY:53051857-53052855	0
C035-S15#chrY:56802949-56805048	C035-S15	chrY:48383655-48384654/chrY:54105183-54106172	0
C038-S18#chrY:56271205-56273205	C038-S18	chrY:55286577-55288576	0
C039-S19#chrY:10268073-10275072	C039-S19	chrY:10566628-10567627/chrY:10607768-10608766	0
C049-N09#chrY:47030061-47032160	C049-N09	chrY:49265765-49266747/chrY:56051067-56052047	0
C050-N10#chrY:36323042-36325141	C050-N10	chrY:51711485-51712484/chrY:53337052-53338050	0
C052-N12#chrY:38352479-38354578	C052-N12	chrY:51985256-51986255/chrY:53571041-53572039	0
C054-N14#chrY:43649787-43651886	C054-N14	chrY:44962486-44963485/chrY:48120076-48121074	0
C055-N15#chrY:39350674-39352773	C055-N15	chrY:53971423-53972422/chrY:57600787-57601785	0
C056-N16#chrY:55761142-55763241	C056-N16	chrY:49104887-49105799/chrY:49025991-49026989	0
C058-N18#chrY:824144-826243	C058-N18	chrY:862806-863774/chrY:805528-806526	0
C060-N20#chrY:26328103-26330202	C060-N20	chrY:25211532-25212531/chrY:25254483-25255481	0
C064-NE04#chrY:24575883-24577982	C064-NE04	chrY:25711744-25712743/chrY:27123492-27124490	0
C077-NE17#chrY:39204778-39206877	C077-NE17	chrY:51677929-51678928/chrY:55088573-55089571	0
C078-NE18#chrY:45147457-45149556	C078-NE18	chrY:36183265-36184264/chrY:48800258-48801256	0
C079-NE19#chrY:38342772-38344871	C079-NE19	chrY:36625937-36626936/chrY:49899096-49900094	0
C081-C01#chrY:58195593-58197692	C081-C01	chrY:46258724-46259723/chrY:56908350-56909343	0
C084-C04#chrY:46816868-46818967	C084-C04	chrY:42099547-42100546/chrY:30773087-30774085	0
C085-C05#chrY:44087006-44089105	C085-C05	chrY:54125517-54126516/chrY:54487262-54488260	0
C086-C06#chrY:30549138-30551237	C086-C06	chrY:29692113-29693117/chrY:30335504-30336502	0
C087-C07#chrY:43073358-43075456	C087-C07	chrY:39895914-39898032/chrY:47728279-47730383	0
C088-C08#chrY:64010986-64013085	C088-C08	chrY:48165314-48166313/chrY:53533395-53534393	0
C089-C09#chrY:51049604-51328234	C089-C09	chrY:55047532-55048504/chrY:56921934-56922913	0
C092-C12#chrY:25292886-25295885	C092-C12	chrY:25096473-25097472/chrY:25090295-25091293	0
C094-C14#chrY:24371232-24373331	C094-C14	chrY:25778305-25779304/chrY:25735713-25736711	0
C097-C17#chrY:50466423-50468522	C097-C17	chrY:56016058-56017057/chrY:40488025-40489023	0
C098-C18#chrY:10348445-10350544	C098-C18	chrY:10802066-10808565	0
C101-CZA01#chrY:32859250-32861349	C101-CZA01	chrY:52511906-52512889/chrY:29110286-29111274	0
C104-CZA04#chrY:41073874-41075973	C104-CZA04	chrY:53448945-53449944/chrY:45563505-45564503	0
C107-CZA07#chrY:10540177-10542276	C107-CZA07	chrY:10597342-10599440	0
C108-CZA08#chrY:53346162-53348261	C108-CZA08	chrY:61724577-61726873	0
C109-CUG01#chrY:27440845-27442944	C109-CUG01	chrY:24738165-24739164/chrY:26341034-26342032	0
C111-CUG03#chrY:49164253-49166352	C111-CUG03	chrY:48713108-48714107/chrY:31803166-31804164	0
C115-CMG02#chrY:10925450-10927549	C115-CMG02	chrY:10738300-10739299/chrY:10697805-10703216	0
C116-CMG03#chrY:54133821-54135920	C116-CMG03	chrY:30121739-30122738/chrY:61324692-61325690	0
C118-CMG05#chrY:51067500-51069599	C118-CMG05	chrY:51282089-51283078/chrY:52580236-52581234	0
C119-CKZ01#chrY:26125345-26127444	C119-CKZ01	chrY:25817865-25818864/chrY:25480758-25481756	0
C123-CKZ05#chrY:38851089-38863088	C123-CKZ05	chrY:48806916-48807915/chrY:43774960-43775958	0
C124-CZH01#chrY:24727272-24729371	C124-CZH01	chrY:26067919-26068918/chrY:25518026-25519024	0
C130-CYI02#chrY:19623025-19625124	C130-CYI02	chrY:19552785-19553784/chrY:19327510-19328508	0
C142-CHU01#chrY:37132647-37134746	C142-CHU01	chrY:46823422-46824421/chrY:33866178-33867176	0
C144-CHU03#chrY:71920302-71922401	C144-CHU03	chrY:61559792-61560793/chrY:61557804-61558802	0
C145-CMA01#chrY:44892030-44894129	C145-CMA01	chrY:51587937-51590045/chrY:45858337-45860281	0
C149-CTJ02#chrY:37026120-37028219	C149-CTJ02	chrY:38880128-38881111/chrY:33676730-33677728	0
C151-E21#chrY:55311011-55313110	C151-E21	chrY:48748221-48749220/chrY:48938596-48939599	0
C153-S21#chrY:45018713-45020812	C153-S21	chrY:33551535-33552490/chrY:57831778-57832776	0
C154-CBA01#chrY:51655092-51657191	C154-CBA01	chrY:61056338-61057331/chrY:61038721-61039729	0
C155-CBA02#chrY:40678199-40680298	C155-CBA02	chrY:43761402-43762401/chrY:56079362-56080360	0
KOR02#chrY:10545082-10547180	KOR02	chrY:10659489-10661587	0
KOR05#chrY:40021270-40023369	KOR05	chrY:41116080-41117079/chrY:52206238-52207236	0
